Kalkulationsstruktur,Preiseinheit,ME,     Preis,Kalkulationslosgrî·e, Menge,BWME,Wert Gesamt,WÑhrung,Ressource,Fehlerstatus,Preisstrategie (Text),Kostenart (Text),Kennzeichen Baugruppe
,,,,,,,,,,,,,
Laserschneidmaschine  ByCut Star 4020,1,ST,299123.25,1,1,ST, 299.123.25,CHF,CH10 10178783,,,,X
,,,,,,,,,,,,,
SpiegelsÑule  kpl.,1,ST,135.32,0,2,ST,270.63,CHF,CH10 10155076,,Preis aus Einkaufsinfosatz,Zukaufteile,
Lichtschranke  kpl.,1,ST,686.83,0,1,ST,686.83,CHF,CH10 10047680,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Verkleidung,1,ST,20654.01,0,1,ST,20654.01,CHF,CH10 10170083,,Preis aus Einkaufsinfosatz,Zukaufteile,
Antrieb  ATW-4020,1,ST,18908.74,0,1,ST,18908.74,CHF,CH10 10177305,,Bewertungspreis mit USER-EXIT,Zukaufteile,
Ventilinsel,1,ST,1625.36,5,1,ST,1625.36,CHF,CH10 10171854,,,Montagebaugruppen eig.,X
,,,,,,,,,,,,,
VOMO Kleinteile H3 UG,1,H,70.32,0,0,H,0,CHF,210502     21050303 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
VOMO Kleinteile H3 UG,1,H,70.32,0,0.25,H,17.58,CHF,210502     21050303 PMONT,,Plantarif der Periode,ILV Personalstunden Montage,
Halter  (K),1,ST,23.67,5,1,ST,23.67,CHF,CH10 10171853,,,Eigenfertigung,X
,,,,,,,,,,,,,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0,H,0,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Laserzentrum BYSPRINTF 3015,1,H,104.33,0,0.014,H,1.46,CHF,21032101   21032101 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Blechtafel  3x1500x3000 DD11,1,M2,39.28,0,0.146,M2,5.73,CHF,CH10 1301096,,Bewertungspreis mit USER-EXIT,Rohmaterial,
Abkanten Xpert 2,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
Abkanten Xpert 2,1,H,71.16,0,0.03,H,2.13,CHF,21032201   21032203 MFERT,,Plantarif der Periode,ILV Maschinenstunden Fertigung,
